iter	Passed	Remaining
606	1539	996
607	1541	993
608	1543	991
609	1545	988
610	1548	985
611	1551	983
612	1553	980
613	1555	977
614	1557	974
615	1559	971
616	1560	968
617	1562	966
618	1565	963
619	1567	960
620	1569	958
621	1571	955
622	1573	952
623	1576	949
624	1578	947
625	1581	944
626	1583	941
627	1585	939
628	1587	936
629	1589	933
630	1591	930
631	1594	928
632	1596	925
633	1598	922
634	1600	920
635	1602	917
636	1604	914
637	1606	911
638	1609	909
639	1611	906
640	1613	903
641	1615	900
642	1617	898
643	1620	895
644	1622	892
645	1624	890
646	1626	887
647	1628	884
648	1631	882
649	1637	881
650	1639	878
651	1641	876
652	1643	873
653	1645	870
654	1647	867
655	1649	864
656	1652	862
657	1654	859
658	1656	856
659	1658	854
660	1659	851
661	1661	848
662	1663	845
663	1666	843
664	1669	840
665	1671	838
666	1673	835
667	1675	832
668	1677	829
669	1679	827
670	1681	824
671	1683	821
672	1685	819
673	1687	816
674	1689	813
675	1691	810
676	1693	808
677	1696	805
678	1698	802
679	1700	800
680	1702	797
681	1703	794
682	1705	791
683	1708	789
684	1711	786
685	1713	784
686	1715	781
687	1717	778
688	1719	775
689	1721	773
690	1723	770
691	1725	768
692	1727	765
693	1729	762
694	1731	759
695	1733	757
696	1735	754
697	1737	751
698	1740	749
699	1742	746
700	1744	743
701	1746	741
702	1748	738
703	1750	735
704	1752	733
705	1754	730
706	1756	728
707	1758	725
708	1760	722
709	1762	719
710	1764	717
711	1766	714
712	1768	712
713	1770	709
714	1772	706
715	1774	703
716	1776	701
717	1778	698
718	1781	696
719	1783	693
720	1785	691
721	1787	688
722	1789	685
723	1791	682
724	1793	680
725	1795	677
726	1798	675
727	1800	672
728	1802	669
729	1804	667
730	1805	664
731	1808	661
732	1810	659
733	1812	656
734	1814	654
735	1816	651
736	1818	649
737	1820	646
738	1822	643
739	1824	641
740	1827	638
741	1829	636
742	1831	633
743	1833	630
744	1835	628
745	1837	625
746	1838	622
747	1841	620
748	1843	617
749	1845	615
750	1847	612
751	1849	609
752	1851	607
753	1853	604
754	1855	602
755	1857	599
756	1859	597
757	1861	594
758	1863	591
759	1865	589
760	1868	586
761	1870	584
762	1872	581
763	1874	579
764	1876	576
765	1878	573
766	1880	571
767	1882	568
768	1884	566
769	1886	563
770	1888	560
771	1890	558
772	1892	555
773	1894	553
774	1896	550
775	1898	547
776	1900	545
777	1902	542
778	1905	540
779	1907	537
780	1909	535
781	1911	532
782	1913	530
783	1916	527
784	1918	525
785	1920	522
786	1922	520
787	1924	517
788	1926	515
789	1928	512
790	1930	510
791	1932	507
792	1934	504
793	1936	502
794	1938	499
795	1940	497
796	1943	494
797	1945	492
798	1947	489
799	1949	487
800	1951	484
801	1953	482
802	1955	479
803	1958	477
804	1960	474
805	1962	472
806	1964	469
807	1966	467
808	1967	464
809	1970	462
810	1972	459
811	1974	457
812	1976	454
813	1978	452
814	1980	449
815	1982	446
816	1984	444
817	1986	441
818	1988	439
819	1990	437
820	1992	434
821	1994	431
822	1996	429
823	1998	426
824	2000	424
825	2003	421
826	2005	419
827	2007	416
828	2008	414
829	2010	411
830	2013	409
831	2015	406
832	2017	404
833	2019	402
834	2021	399
835	2023	397
836	2026	394
837	2027	392
838	2030	389
839	2032	387
840	2034	384
841	2036	382
842	2038	379
843	2040	377
844	2042	374
845	2044	372
846	2047	369
847	2049	367
848	2051	364
849	2053	362
850	2055	359
851	2057	357
852	2059	354
853	2062	352
854	2064	350
855	2066	347
856	2068	345
857	2070	342
858	2071	340
859	2074	337
860	2076	335
861	2078	332
862	2080	330
863	2082	327
864	2084	325
865	2086	322
866	2088	320
867	2091	318
868	2092	315
869	2095	313
870	2096	310
871	2098	308
872	2100	305
873	2103	303
874	2105	300
875	2107	298
876	2109	295
877	2111	293
878	2113	290
879	2115	288
880	2117	286
881	2120	283
882	2121	281
883	2124	278
884	2126	276
885	2128	273
886	2130	271
887	2133	269
888	2135	266
889	2137	264
890	2140	261
891	2141	259
892	2144	256
893	2153	255
894	2156	252
895	2159	250
896	2164	248
897	2168	246
898	2171	243
899	2173	241
900	2176	239
901	2180	236
902	2182	234
903	2185	232
904	2187	229
905	2189	227
906	2191	224
907	2193	222
908	2196	219
909	2200	217
910	2203	215
911	2205	212
912	2207	210
913	2210	207
914	2212	205
915	2214	203
916	2216	200
917	2219	198
918	2221	195
919	2223	193
920	2225	190
921	2227	188
922	2229	186
923	2232	183
924	2234	181
925	2236	178
926	2238	176
927	2240	173
928	2242	171
929	2244	168
930	2247	166
931	2250	164
932	2251	161
933	2253	159
934	2255	156
935	2257	154
936	2260	151
937	2263	149
938	2266	147
939	2268	144
940	2270	142
941	2272	139
942	2274	137
943	2276	135
944	2278	132
945	2280	130
946	2283	127
947	2285	125
948	2287	122
949	2289	120
950	2291	118
951	2294	115
952	2296	113
953	2298	110
954	2300	108
955	2302	105
956	2304	103
957	2306	101
958	2309	98
959	2311	96
960	2313	93
961	2315	91
962	2317	89
